viewing_id,user_id,movie_id,started_at,ended_at,watch_minutes,completion_pct,playback_status,device_type,streaming_quality,viewing_country,rewatch_number,discovery_source
VEW000025,USR0003,MOV0094,2025-05-06T22:33:31Z,2025-05-07T00:51:31Z,120,94,completed,smart_tv,HD,KR,0,search
VEW000026,USR0003,MOV0003,2026-03-29T08:15:53Z,2026-03-29T10:05:53Z,110,97,completed,tablet,SD,KR,0,trending
VEW000027,USR0003,MOV0161,2025-07-07T20:25:36Z,2025-07-07T22:54:36Z,149,99,completed,mobile,HD,KR,0,watchlist
VEW000028,USR0003,MOV0099,2025-06-12T08:56:07Z,2025-06-12T11:15:07Z,124,95,completed,mobile,SD,KR,0,trending
VEW000029,USR0003,MOV0080,2025-03-25T21:39:57Z,2025-03-25T23:54:57Z,125,84,abandoned,tablet,4K,KR,0,friend_share
VEW000030,USR0003,MOV0047,2024-12-27T02:33:22Z,2024-12-27T03:47:22Z,59,83,abandoned,web,FHD,KR,0,watchlist
VEW000031,USR0003,MOV0137,2026-07-09T12:15:41Z,2026-07-09T13:34:41Z,75,81,abandoned,web,SD,KR,0,friend_share
VEW000032,USR0003,MOV0033,2025-01-26T23:56:46Z,2025-01-27T01:16:46Z,71,81,abandoned,mobile,FHD,KR,0,home_recommendation
VEW000033,USR0003,MOV0165,2025-12-19T08:48:43Z,2025-12-19T09:34:43Z,41,34,abandoned,game_console,HD,KR,0,search
VEW000034,USR0003,MOV0153,2025-07-10T01:33:07Z,2025-07-10T03:59:07Z,144,100,completed,smart_tv,HD,KR,0,trending
VEW000035,USR0003,MOV0155,2025-01-01T14:59:57Z,2025-01-01T16:48:57Z,104,85,completed,tablet,HD,KR,0,friend_share
VEW000036,USR0003,MOV0102,2026-01-08T00:36:41Z,2026-01-08T01:10:41Z,31,34,abandoned,mobile,4K,KR,0,trending
VEW000037,USR0004,MOV0186,2026-07-13T14:59:17Z,2026-07-13T17:44:17Z,148,98,completed,tablet,SD,KR,0,trending
VEW000038,USR0004,MOV0064,2026-05-07T02:55:34Z,2026-05-07T05:05:34Z,117,89,completed,tablet,4K,KR,0,watchlist
VEW000039,USR0004,MOV0095,2026-07-15T23:05:00Z,2026-07-16T00:35:00Z,85,92,completed,tablet,4K,KR,0,home_recommendation
VEW000040,USR0004,MOV0138,2026-04-19T11:55:15Z,2026-04-19T13:37:15Z,86,97,completed,web,4K,KR,0,friend_share
VEW000041,USR0004,MOV0008,2026-03-30T18:53:24Z,2026-03-30T19:23:24Z,28,33,abandoned,mobile,HD,KR,0,friend_share
VEW000042,USR0004,MOV0169,2026-05-29T17:53:13Z,2026-05-29T19:33:13Z,87,57,abandoned,web,FHD,KR,0,search
VEW000043,USR0004,MOV0134,2026-01-07T08:43:46Z,2026-01-07T10:25:46Z,87,86,completed,mobile,SD,KR,0,trending
VEW000044,USR0004,MOV0042,2026-06-29T10:17:58Z,2026-06-29T10:50:58Z,32,25,abandoned,tablet,FHD,KR,0,search
VEW000045,USR0004,MOV0166,2026-03-28T11:33:20Z,2026-03-28T13:13:20Z,94,65,abandoned,web,SD,KR,0,watchlist
VEW000046,USR0004,MOV0102,2026-02-12T04:21:07Z,2026-02-12T05:49:07Z,79,86,completed,game_console,4K,KR,0,search
VEW000047,USR0004,MOV0031,2025-12-13T12:50:21Z,2025-12-13T14:14:21Z,80,83,abandoned,mobile,SD,KR,0,trending
VEW000048,USR0004,MOV0039,2026-05-05T09:03:08Z,2026-05-05T09:49:08Z,40,25,abandoned,smart_tv,4K,KR,0,home_recommendation
VEW000049,USR0005,MOV0004,2025-05-28T17:49:09Z,2025-05-28T19:57:09Z,114,88,completed,tablet,HD,KR,0,search
VEW000050,USR0005,MOV0097,2026-02-19T20:26:11Z,2026-02-19T21:37:11Z,71,94,completed,tablet,SD,KR,0,watchlist
VEW000051,USR0005,MOV0189,2026-07-12T16:21:45Z,2026-07-12T18:58:45Z,143,93,completed,tablet,4K,KR,0,home_recommendation
VEW000052,USR0005,MOV0194,2026-04-30T04:32:57Z,2026-04-30T06:14:57Z,98,97,completed,mobile,4K,KR,0,search
VEW000053,USR0005,MOV0049,2023-03-23T00:19:05Z,2023-03-23T02:02:05Z,98,68,abandoned,game_console,FHD,KR,0,home_recommendation
VEW000054,USR0005,MOV0058,2022-01-28T22:35:39Z,2022-01-29T00:00:39Z,67,58,abandoned,tablet,4K,KR,0,trending
VEW000055,USR0005,MOV0181,2023-03-22T14:40:58Z,2023-03-22T15:36:58Z,42,29,abandoned,smart_tv,4K,KR,0,trending
VEW000056,USR0005,MOV0128,2023-05-08T23:47:20Z,2023-05-09T00:59:20Z,58,64,abandoned,game_console,4K,KR,0,search
VEW000057,USR0005,MOV0016,2025-10-16T06:34:11Z,2025-10-16T07:13:11Z,34,24,abandoned,game_console,SD,KR,0,trending
VEW000058,USR0005,MOV0200,2026-03-16T15:31:06Z,2026-03-16T17:10:06Z,81,88,completed,mobile,FHD,KR,0,watchlist
VEW000059,USR0005,MOV0156,2026-04-10T07:01:18Z,2026-04-10T08:35:18Z,89,92,completed,web,FHD,KR,0,watchlist
VEW000060,USR0005,MOV0131,2023-10-11T11:11:35Z,2023-10-11T13:13:35Z,109,100,completed,smart_tv,SD,KR,0,friend_share
VEW000061,USR0006,MOV0090,2026-07-14T15:00:53Z,2026-07-14T17:11:53Z,118,98,completed,web,FHD,KR,0,trending
VEW000062,USR0006,MOV0079,2025-12-02T02:14:55Z,2025-12-02T04:38:55Z,144,94,completed,mobile,HD,KR,0,watchlist
VEW000063,USR0006,MOV0018,2024-10-30T15:24:15Z,2024-10-30T17:13:15Z,104,90,completed,web,SD,KR,0,watchlist
VEW000064,USR0006,MOV0161,2024-02-17T01:40:31Z,2024-02-17T04:00:31Z,139,92,completed,game_console,4K,KR,0,home_recommendation
VEW000065,USR0006,MOV0128,2022-08-09T05:03:57Z,2022-08-09T05:49:57Z,46,50,abandoned,game_console,4K,KR,0,home_recommendation
VEW000066,USR0006,MOV0009,2025-10-01T14:16:41Z,2025-10-01T16:32:41Z,130,95,completed,smart_tv,SD,KR,0,trending
VEW000067,USR0006,MOV0004,2025-08-28T19:44:46Z,2025-08-28T21:21:46Z,89,69,abandoned,smart_tv,SD,KR,0,search
VEW000068,USR0006,MOV0190,2022-06-30T05:20:05Z,2022-06-30T07:36:05Z,128,80,abandoned,game_console,4K,KR,0,trending
VEW000069,USR0006,MOV0172,2026-07-19T14:03:30Z,2026-07-19T16:14:30Z,113,84,abandoned,tablet,4K,KR,0,friend_share
VEW000070,USR0006,MOV0057,2025-08-14T00:03:12Z,2025-08-14T01:12:12Z,67,68,abandoned,web,4K,KR,0,trending
VEW000071,USR0006,MOV0109,2026-02-06T06:43:29Z,2026-02-06T07:42:29Z,46,36,abandoned,game_console,HD,KR,0,home_recommendation
VEW000072,USR0006,MOV0015,2026-04-15T05:45:24Z,2026-04-15T07:44:24Z,114,73,abandoned,smart_tv,SD,KR,0,search
VEW000073,USR0007,MOV0020,2025-09-22T10:39:07Z,2025-09-22T12:40:07Z,103,96,completed,tablet,HD,KR,0,watchlist
VEW000074,USR0007,MOV0011,2024-06-11T17:46:51Z,2024-06-11T19:45:51Z,103,93,completed,web,FHD,KR,0,search
VEW000075,USR0007,MOV0095,2026-07-05T16:40:14Z,2026-07-05T18:29:14Z,92,100,completed,mobile,HD,KR,0,friend_share
VEW000076,USR0007,MOV0124,2025-10-09T20:19:52Z,2025-10-09T22:07:52Z,90,94,completed,web,4K,KR,0,home_recommendation
VEW000077,USR0007,MOV0186,2026-05-01T19:04:34Z,2026-05-01T19:39:34Z,27,18,abandoned,smart_tv,HD,KR,0,trending
VEW000078,USR0007,MOV0091,2025-08-05T20:23:47Z,2025-08-05T22:18:47Z,115,100,completed,smart_tv,SD,KR,0,watchlist
VEW000079,USR0007,MOV0174,2024-01-22T03:18:10Z,2024-01-22T04:16:10Z,50,39,abandoned,tablet,SD,KR,0,friend_share
VEW000080,USR0007,MOV0027,2025-05-19T09:13:17Z,2025-05-19T10:07:17Z,47,46,abandoned,tablet,4K,KR,0,friend_share
VEW000081,USR0007,MOV0192,2023-10-04T06:47:49Z,2023-10-04T08:07:49Z,78,83,abandoned,web,FHD,KR,0,trending
VEW000082,USR0007,MOV0001,2024-06-10T13:56:23Z,2024-06-10T15:07:23Z,61,43,abandoned,game_console,FHD,KR,0,watchlist
VEW000083,USR0007,MOV0029,2024-01-03T14:49:10Z,2024-01-03T15:19:10Z,24,20,abandoned,game_console,FHD,KR,0,home_recommendation
VEW000084,USR0007,MOV0038,2026-04-17T22:00:43Z,2026-04-17T23:49:43Z,97,87,completed,web,HD,KR,0,search
VEW000085,USR0008,MOV0183,2025-11-01T17:05:19Z,2025-11-01T18:58:19Z,105,95,completed,mobile,FHD,KR,0,friend_share
VEW000086,USR0008,MOV0122,2026-06-10T17:25:21Z,2026-06-10T19:23:21Z,116,88,completed,smart_tv,SD,KR,0,home_recommendation
VEW000087,USR0008,MOV0174,2026-01-31T07:17:30Z,2026-01-31T09:23:30Z,126,98,completed,tablet,FHD,KR,0,watchlist
VEW000088,USR0008,MOV0001,2025-09-08T09:51:16Z,2025-09-08T12:15:16Z,135,95,completed,tablet,SD,KR,0,watchlist
VEW000089,USR0008,MOV0061,2025-04-14T05:27:20Z,2025-04-14T06:18:20Z,39,34,abandoned,tablet,FHD,KR,0,watchlist
VEW000090,USR0008,MOV0060,2026-05-11T00:36:37Z,2026-05-11T02:16:37Z,83,55,abandoned,tablet,HD,KR,0,watchlist
VEW000091,USR0008,MOV0047,2026-03-03T01:26:58Z,2026-03-03T02:34:58Z,53,75,abandoned,smart_tv,4K,KR,0,watchlist
VEW000092,USR0008,MOV0098,2026-05-20T11:34:42Z,2026-05-20T13:28:42Z,98,92,completed,game_console,4K,KR,0,watchlist
VEW000093,USR0008,MOV0136,2024-08-06T10:48:56Z,2024-08-06T13:12:56Z,128,88,completed,game_console,4K,KR,0,friend_share
VEW000094,USR0008,MOV0141,2025-04-05T17:04:48Z,2025-04-05T18:08:48Z,58,59,abandoned,game_console,FHD,KR,0,trending
VEW000095,USR0008,MOV0159,2026-06-06T22:57:49Z,2026-06-07T00:43:49Z,90,66,abandoned,web,FHD,KR,0,trending
VEW000096,USR0008,MOV0158,2025-08-03T20:31:09Z,2025-08-03T21:26:09Z,39,40,abandoned,web,HD,KR,0,trending
VEW000097,USR0009,MOV0087,2025-09-02T10:13:13Z,2025-09-02T11:51:13Z,90,92,completed,web,SD,KR,0,friend_share
VEW000098,USR0009,MOV0142,2026-06-07T03:50:00Z,2026-06-07T05:59:00Z,128,91,completed,web,FHD,KR,0,trending
VEW000099,USR0009,MOV0073,2024-11-06T14:46:38Z,2024-11-06T17:26:38Z,144,89,completed,tablet,FHD,KR,0,trending
VEW000100,USR0009,MOV0132,2024-10-10T14:13:26Z,2024-10-10T15:57:26Z,91,95,completed,tablet,4K,KR,0,watchlist
VEW000101,USR0009,MOV0064,2025-08-02T09:08:43Z,2025-08-02T10:34:43Z,74,56,abandoned,web,HD,KR,0,watchlist
VEW000102,USR0009,MOV0178,2026-04-03T02:11:22Z,2026-04-03T04:00:22Z,97,84,abandoned,game_console,4K,KR,0,friend_share
VEW000103,USR0009,MOV0009,2026-05-17T03:25:40Z,2026-05-17T04:51:40Z,79,58,abandoned,mobile,HD,KR,0,friend_share
VEW000104,USR0009,MOV0194,2026-01-22T12:35:19Z,2026-01-22T14:04:19Z,75,74,abandoned,game_console,4K,KR,0,home_recommendation
VEW000105,USR0009,MOV0150,2025-07-06T22:27:01Z,2025-07-07T00:10:01Z,99,80,abandoned,mobile,FHD,KR,0,home_recommendation
VEW000106,USR0009,MOV0062,2026-07-02T18:42:28Z,2026-07-02T20:39:28Z,116,78,abandoned,mobile,HD,KR,0,friend_share
VEW000107,USR0009,MOV0165,2025-08-25T17:49:57Z,2025-08-25T19:36:57Z,95,78,abandoned,smart_tv,FHD,KR,0,watchlist
VEW000108,USR0009,MOV0016,2026-05-07T02:03:44Z,2026-05-07T03:03:44Z,49,34,abandoned,mobile,4K,KR,0,friend_share
VEW000109,USR0010,MOV0130,2026-04-26T13:41:29Z,2026-04-26T15:51:29Z,117,93,completed,tablet,HD,KR,0,home_recommendation
VEW000110,USR0010,MOV0010,2026-02-04T00:58:52Z,2026-02-04T02:56:52Z,117,91,completed,web,FHD,KR,0,trending
VEW000111,USR0010,MOV0005,2026-04-05T13:17:20Z,2026-04-05T15:04:20Z,95,95,completed,web,SD,KR,0,trending
VEW000112,USR0010,MOV0052,2026-04-13T06:46:23Z,2026-04-13T09:21:23Z,143,89,completed,mobile,FHD,KR,0,friend_share
VEW000113,USR0010,MOV0050,2026-02-03T21:36:34Z,2026-02-03T23:07:34Z,84,59,abandoned,game_console,HD,KR,0,trending
VEW000114,USR0010,MOV0183,2025-11-27T19:22:29Z,2025-11-27T20:31:29Z,56,50,abandoned,tablet,FHD,KR,0,friend_share
VEW000115,USR0010,MOV0037,2026-03-20T01:52:51Z,2026-03-20T03:09:51Z,67,70,abandoned,game_console,HD,KR,0,home_recommendation
VEW000116,USR0010,MOV0107,2025-12-27T07:02:46Z,2025-12-27T08:17:46Z,60,61,abandoned,game_console,HD,KR,0,trending
VEW000117,USR0010,MOV0089,2026-06-12T20:20:51Z,2026-06-12T21:22:51Z,53,41,abandoned,game_console,4K,KR,0,home_recommendation
VEW000118,USR0010,MOV0097,2026-03-10T02:43:30Z,2026-03-10T03:00:30Z,14,18,abandoned,game_console,FHD,KR,0,home_recommendation
VEW000119,USR0010,MOV0178,2026-07-15T07:20:44Z,2026-07-15T08:38:44Z,63,54,abandoned,tablet,SD,KR,0,watchlist
VEW000120,USR0010,MOV0042,2026-02-21T22:27:30Z,2026-02-21T23:56:30Z,83,65,abandoned,tablet,FHD,KR,0,friend_share
VEW000121,USR0011,MOV0097,2026-07-10T01:49:21Z,2026-07-10T03:16:21Z,73,97,completed,smart_tv,SD,KR,0,search
VEW000122,USR0011,MOV0190,2024-08-22T12:27:03Z,2024-08-22T15:20:03Z,155,97,completed,web,SD,KR,0,trending
VEW000123,USR0011,MOV0013,2026-06-06T14:41:02Z,2026-06-06T17:07:02Z,132,94,completed,game_console,FHD,KR,0,home_recommendation
VEW000124,USR0011,MOV0056,2024-10-17T00:13:12Z,2024-10-17T02:09:12Z,103,92,completed,mobile,4K,KR,0,search
VEW000125,USR0011,MOV0043,2025-09-06T13:55:35Z,2025-09-06T14:44:35Z,46,46,abandoned,mobile,HD,KR,0,search
VEW000126,USR0011,MOV0065,2026-05-25T21:25:31Z,2026-05-25T23:07:31Z,84,65,abandoned,game_console,HD,KR,0,home_recommendation
VEW000127,USR0011,MOV0011,2024-05-02T06:47:31Z,2024-05-02T08:23:31Z,94,85,completed,web,FHD,KR,0,friend_share
VEW000128,USR0011,MOV0052,2026-07-16T14:31:34Z,2026-07-16T16:37:34Z,113,70,abandoned,tablet,4K,KR,0,home_recommendation
VEW000129,USR0011,MOV0023,2025-02-24T04:48:38Z,2025-02-24T05:57:38Z,59,39,abandoned,web,FHD,KR,0,search
VEW000130,USR0011,MOV0145,2025-01-20T15:03:14Z,2025-01-20T15:45:14Z,38,28,abandoned,smart_tv,4K,KR,0,friend_share
VEW000131,USR0011,MOV0032,2024-08-08T12:54:22Z,2024-08-08T14:13:22Z,79,52,abandoned,mobile,HD,KR,0,home_recommendation
VEW000132,USR0011,MOV0079,2026-03-29T16:03:00Z,2026-03-29T17:58:00Z,109,71,abandoned,tablet,FHD,KR,0,trending
VEW000133,USR0012,MOV0115,2024-09-15T02:39:13Z,2024-09-15T05:11:13Z,136,93,completed,tablet,FHD,KR,0,trending
VEW000134,USR0012,MOV0063,2024-06-02T17:12:21Z,2024-06-02T19:10:21Z,114,98,completed,tablet,HD,KR,0,home_recommendation
VEW000135,USR0012,MOV0126,2026-04-19T01:14:00Z,2026-04-19T03:34:00Z,140,93,completed,web,FHD,KR,0,watchlist
VEW000136,USR0012,MOV0060,2026-05-18T07:29:18Z,2026-05-18T09:51:18Z,135,90,completed,tablet,HD,KR,0,home_recommendation
VEW000137,USR0012,MOV0155,2024-03-04T15:34:16Z,2024-03-04T16:23:16Z,37,30,abandoned,game_console,4K,KR,0,friend_share
VEW000138,USR0012,MOV0145,2025-04-05T17:23:23Z,2025-04-05T19:16:23Z,113,83,abandoned,tablet,4K,KR,0,trending
VEW000139,USR0012,MOV0070,2025-03-11T15:03:12Z,2025-03-11T16:00:12Z,45,42,abandoned,smart_tv,4K,KR,0,trending
VEW000140,USR0012,MOV0109,2026-05-25T04:44:58Z,2026-05-25T06:35:58Z,102,80,abandoned,web,FHD,KR,0,watchlist
VEW000141,USR0012,MOV0187,2025-03-13T16:22:59Z,2025-03-13T17:57:59Z,77,88,completed,smart_tv,4K,KR,0,home_recommendation
VEW000142,USR0012,MOV0068,2026-06-24T21:38:11Z,2026-06-24T22:57:11Z,70,60,abandoned,tablet,SD,KR,0,trending
VEW000143,USR0012,MOV0017,2025-05-28T04:48:18Z,2025-05-28T06:14:18Z,82,80,abandoned,game_console,HD,KR,0,search
VEW000144,USR0012,MOV0031,2024-12-10T03:39:39Z,2024-12-10T04:18:39Z,30,31,abandoned,smart_tv,FHD,KR,0,search
VEW000145,USR0013,MOV0116,2024-07-10T23:21:09Z,2024-07-11T01:17:09Z,107,94,completed,smart_tv,HD,KR,0,friend_share
VEW000146,USR0013,MOV0166,2025-09-23T11:04:53Z,2025-09-23T13:26:53Z,137,95,completed,web,HD,KR,0,watchlist
VEW000147,USR0013,MOV0032,2025-02-23T14:43:01Z,2025-02-23T17:19:01Z,138,91,completed,smart_tv,FHD,KR,0,trending
VEW000148,USR0013,MOV0143,2026-01-02T16:22:21Z,2026-01-02T18:03:21Z,101,96,completed,web,4K,KR,0,watchlist
VEW000149,USR0013,MOV0159,2024-04-17T17:11:45Z,2024-04-17T19:11:45Z,102,75,abandoned,smart_tv,FHD,KR,0,trending
VEW000150,USR0013,MOV0181,2026-04-08T17:19:43Z,2026-04-08T18:25:43Z,65,45,abandoned,tablet,HD,KR,0,search
VEW000151,USR0013,MOV0142,2025-03-14T16:48:56Z,2025-03-14T17:38:56Z,41,29,abandoned,game_console,4K,KR,0,search
VEW000152,USR0013,MOV0030,2025-04-04T08:13:38Z,2025-04-04T08:48:38Z,23,20,abandoned,tablet,4K,KR,0,home_recommendation
VEW000153,USR0013,MOV0027,2025-10-06T19:56:00Z,2025-10-06T20:51:00Z,53,51,abandoned,web,SD,KR,0,watchlist
VEW000154,USR0013,MOV0038,2026-06-22T07:03:00Z,2026-06-22T08:50:00Z,91,81,abandoned,web,HD,KR,0,watchlist
VEW000155,USR0013,MOV0123,2024-06-01T23:50:21Z,2024-06-02T00:55:21Z,47,46,abandoned,web,FHD,KR,0,trending
VEW000156,USR0013,MOV0050,2026-03-28T00:37:14Z,2026-03-28T03:00:14Z,136,96,completed,mobile,4K,KR,0,home_recommendation
VEW000157,USR0014,MOV0200,2025-12-01T14:44:23Z,2025-12-01T16:25:23Z,83,90,completed,web,FHD,KR,0,watchlist
VEW000158,USR0014,MOV0160,2025-08-26T11:52:22Z,2025-08-26T13:37:22Z,105,99,completed,tablet,SD,KR,0,friend_share
VEW000159,USR0014,MOV0177,2025-01-19T03:09:10Z,2025-01-19T04:12:10Z,62,88,completed,mobile,SD,KR,0,trending
VEW000160,USR0014,MOV0012,2025-10-05T00:29:26Z,2025-10-05T02:37:26Z,120,89,completed,tablet,4K,KR,0,trending
VEW000161,USR0014,MOV0103,2025-08-13T01:52:31Z,2025-08-13T03:09:31Z,67,66,abandoned,tablet,HD,KR,0,search
VEW000162,USR0014,MOV0120,2024-10-24T05:37:25Z,2024-10-24T06:07:25Z,24,26,abandoned,web,4K,KR,0,friend_share
VEW000163,USR0014,MOV0036,2025-12-20T04:00:22Z,2025-12-20T05:43:22Z,99,93,completed,web,4K,KR,0,home_recommendation
VEW000164,USR0014,MOV0106,2025-12-29T00:02:01Z,2025-12-29T01:42:01Z,95,81,abandoned,smart_tv,HD,KR,0,home_recommendation
VEW000165,USR0014,MOV0186,2026-07-02T04:36:27Z,2026-07-02T05:41:27Z,56,37,abandoned,tablet,SD,KR,0,home_recommendation
VEW000166,USR0014,MOV0007,2025-12-29T21:07:20Z,2025-12-29T22:18:20Z,60,64,abandoned,web,SD,KR,0,friend_share
VEW000167,USR0014,MOV0011,2024-01-16T08:38:45Z,2024-01-16T09:42:45Z,48,43,abandoned,web,4K,KR,0,home_recommendation
VEW000168,USR0014,MOV0098,2026-04-06T21:29:49Z,2026-04-06T22:50:49Z,67,63,abandoned,mobile,SD,KR,0,home_recommendation
VEW000169,USR0015,MOV0090,2025-05-23T03:33:01Z,2025-05-23T05:24:01Z,107,89,completed,web,HD,KR,0,home_recommendation
VEW000170,USR0015,MOV0190,2026-05-23T05:00:22Z,2026-05-23T07:38:22Z,150,94,completed,game_console,4K,KR,0,watchlist
VEW000171,USR0015,MOV0092,2026-05-03T21:00:51Z,2026-05-03T22:49:51Z,107,94,completed,game_console,FHD,KR,0,watchlist
VEW000172,USR0015,MOV0173,2026-04-29T22:17:58Z,2026-04-30T00:34:58Z,136,100,completed,game_console,FHD,KR,0,home_recommendation
VEW000173,USR0015,MOV0195,2026-02-26T09:16:30Z,2026-02-26T10:43:30Z,80,52,abandoned,tablet,HD,KR,0,trending
VEW000174,USR0015,MOV0098,2026-04-29T15:34:02Z,2026-04-29T16:46:02Z,72,68,abandoned,smart_tv,SD,KR,0,trending
VEW000175,USR0015,MOV0030,2025-03-13T09:50:02Z,2025-03-13T10:59:02Z,66,58,abandoned,mobile,4K,KR,0,home_recommendation
VEW000176,USR0015,MOV0103,2025-08-09T13:35:36Z,2025-08-09T15:09:36Z,86,85,completed,smart_tv,SD,KR,0,trending
VEW000177,USR0015,MOV0012,2026-04-02T23:55:45Z,2026-04-03T01:10:45Z,65,48,abandoned,tablet,SD,KR,0,trending
VEW000178,USR0015,MOV0088,2026-07-13T16:59:07Z,2026-07-13T18:26:07Z,85,83,abandoned,smart_tv,SD,KR,0,trending
VEW000179,USR0015,MOV0081,2025-11-14T11:33:53Z,2025-11-14T14:01:53Z,142,87,completed,smart_tv,4K,KR,0,friend_share
VEW000180,USR0015,MOV0050,2026-04-16T18:38:54Z,2026-04-16T20:39:54Z,115,81,abandoned,web,FHD,KR,0,home_recommendation
VEW000181,USR0016,MOV0199,2026-03-03T10:21:54Z,2026-03-03T12:15:54Z,103,94,completed,web,HD,KR,0,home_recommendation
VEW000182,USR0016,MOV0043,2025-12-10T13:58:13Z,2025-12-10T15:34:13Z,88,88,completed,web,SD,KR,0,watchlist
VEW000183,USR0016,MOV0180,2025-05-08T16:27:01Z,2025-05-08T19:03:01Z,139,93,completed,smart_tv,FHD,KR,0,watchlist
VEW000184,USR0016,MOV0139,2024-10-28T05:57:48Z,2024-10-28T07:50:48Z,103,96,completed,smart_tv,SD,KR,0,search
VEW000185,USR0016,MOV0017,2024-09-30T17:49:21Z,2024-09-30T18:53:21Z,63,61,abandoned,tablet,SD,KR,0,friend_share
VEW000186,USR0016,MOV0095,2026-03-24T09:20:33Z,2026-03-24T10:11:33Z,38,41,abandoned,smart_tv,SD,KR,0,trending
VEW000187,USR0016,MOV0162,2026-05-17T03:08:28Z,2026-05-17T04:42:28Z,84,59,abandoned,mobile,SD,KR,0,search
VEW000188,USR0016,MOV0072,2025-01-03T17:01:08Z,2025-01-03T18:43:08Z,91,79,abandoned,tablet,FHD,KR,0,trending
VEW000189,USR0016,MOV0028,2026-05-15T09:28:11Z,2026-05-15T10:05:11Z,34,32,abandoned,web,SD,KR,0,search
VEW000190,USR0016,MOV0134,2025-01-21T10:23:03Z,2025-01-21T12:12:03Z,94,93,completed,tablet,HD,KR,0,friend_share
VEW000191,USR0016,MOV0026,2025-02-22T15:40:51Z,2025-02-22T17:03:51Z,70,75,abandoned,web,FHD,KR,0,home_recommendation
VEW000192,USR0016,MOV0143,2025-09-18T02:57:00Z,2025-09-18T03:43:00Z,28,27,abandoned,tablet,FHD,KR,0,search
