critic_review_id,critic_id,movie_id,score_100,letter_grade,review_title,review_text,reviewed_at,verdict,recommended
CRV00012,CRT001,MOV0087,85,A-,우주 엘리베이터 1층의 사람들,거대한 기술보다 기다리는 노동자와 승객의 일상을 바라보는 시선이 좋다.,2026-07-01T09:12:00Z,must_watch,true
CRV00013,CRT001,MOV0004,67,C+,우체통에 식지 않은 안부,기다림의 온도는 정확하지만 사연의 배열이 다소 예상 가능하다.,2026-07-01T09:13:00Z,mixed,false
CRV00014,CRT002,MOV0197,80,B+,도시 야경을 가르는 드론의 속도,레이스의 동선을 서울 지형과 맞물린 쾌감으로 완성한다.,2026-07-02T09:14:00Z,recommended,true
CRV00015,CRT002,MOV0184,70,B-,북항 컨테이너 사이의 추격,산업 공간을 활용한 액션은 좋지만 적대자의 윤곽은 얇다.,2026-07-02T09:15:00Z,recommended,false
CRV00016,CRT002,MOV0095,76,B,업데이트되는 얼굴과 흔들리는 자아,생체 기술의 공포를 정체성의 위기로 확장하는 힘이 있다.,2026-07-02T09:16:00Z,recommended,true
CRV00017,CRT002,MOV0057,81,B+,비어 있는 자리의 사용 설명서,상실 이후의 일상을 과장 없이 관찰해 감정의 빈칸을 남긴다.,2026-07-02T09:17:00Z,recommended,true
CRV00018,CRT002,MOV0073,89,A-,사라진 대리님의 업무 로그,회사 메신저와 결재선을 단서로 바꾸는 생활 추리의 재치가 빛난다.,2026-07-02T09:18:00Z,must_watch,true
CRV00019,CRT002,MOV0190,63,C,백두대간의 익숙한 구조 신호,설원 액션의 규모에 비해 대원들의 내적 갈등은 관습적이다.,2026-07-02T09:19:00Z,mixed,false
CRV00020,CRT002,MOV0113,75,B,한강을 걷는 물고기의 밤,도시의 외로움을 낯선 생명체의 이동으로 시각화한 상상력이 돋보인다.,2026-07-02T09:20:00Z,recommended,true
CRV00021,CRT002,MOV0195,86,A-,검은 파도 아래의 팀워크,수중 공간의 제한을 전술과 감정의 압력으로 동시에 활용한다.,2026-07-02T09:21:00Z,must_watch,true
CRV00022,CRT002,MOV0154,51,D,도깨비 방망이 수리 지연,민속 소재와 고객센터 농담이 한 가지 패턴을 벗어나지 못한다.,2026-07-02T09:22:00Z,skip,false
CRV00023,CRT002,MOV0072,89,A-,할머니가 선곡한 세대의 합창,코인 노래방이라는 작은 무대에서 노년의 욕망을 유쾌하게 해방한다.,2026-07-02T09:23:00Z,must_watch,true
CRV00024,CRT002,MOV0103,81,B+,지하철을 탄 비밀 정원의 노선도,도시 이동 체계와 생태 판타지를 매끄럽게 결합한다.,2026-07-02T09:24:00Z,recommended,true
CRV00025,CRT002,MOV0041,87,A-,오후 네 시에 멈춘 첫사랑,일상의 시간표 안에서 설렘의 미세한 변화를 포착하는 로맨스다.,2026-07-02T09:25:00Z,must_watch,true
CRV00026,CRT002,MOV0194,79,B,항공로 27의 교신 드라마,관제 음성과 계기 정보만으로도 충분한 긴장과 공간을 만든다.,2026-07-02T09:26:00Z,recommended,true
CRV00027,CRT003,MOV0143,60,C,종이컵 행성의 작은 궤도,재활용 소재의 미술은 인상적이나 모험의 서사적 추진력은 약하다.,2026-07-03T09:27:00Z,mixed,false
CRV00028,CRT003,MOV0031,89,A-,잠들지 않는 보관함의 도시 야사,심야 물품과 주인의 사연을 하나의 미스터리로 엮는 솜씨가 뛰어나다.,2026-07-03T09:28:00Z,must_watch,true
CRV00029,CRT003,MOV0051,66,C+,월세와 고백의 불편한 동거,주거 현실은 구체적이지만 로맨스가 문제를 지나치게 간단히 봉합한다.,2026-07-03T09:29:00Z,mixed,false
CRV00030,CRT003,MOV0178,52,D,고향을 번역하다 놓친 사람,언어의 정치성을 말하지만 인물은 주장을 전달하는 도구에 머문다.,2026-07-03T09:30:00Z,skip,false
CRV00031,CRT003,MOV0164,51,D,한 그릇에 과적된 이주 서사,다양성을 향한 선의가 인물의 구체성을 대신한다.,2026-07-03T09:31:00Z,skip,false
CRV00032,CRT003,MOV0071,84,B+,문 앞에 놓인 웃음의 배달,택배 노동의 동선을 이웃 관계의 지도처럼 활용한 생활 코미디다.,2026-07-03T09:32:00Z,recommended,true
CRV00033,CRT003,MOV0087,66,C+,거대한 승강기 아래 작은 일상,세계의 규모는 매력적이나 사건의 인과가 충분히 조여지지 않는다.,2026-07-03T09:33:00Z,mixed,false
CRV00034,CRT003,MOV0018,72,B-,냉장고가 보존한 가족의 계절,음식의 유통기한과 기억의 수명을 다정하게 포개 놓는다.,2026-07-03T09:34:00Z,recommended,false
CRV00035,CRT003,MOV0170,52,D,마지막 목욕탕에 남은 향수,지역 공동체의 상실을 익숙한 눈물 공식으로 단순화한다.,2026-07-03T09:35:00Z,skip,false
CRV00036,CRT003,MOV0030,61,C,신호등 없는 밤의 헐거운 추적,정전된 교차로는 탁월하지만 수사의 연결 고리가 약하다.,2026-07-03T09:36:00Z,mixed,false
CRV00037,CRT003,MOV0074,78,B,화분이 채용한 적임자,취업 경쟁을 반려식물의 생존 감각으로 비트는 농담이 신선하다.,2026-07-03T09:37:00Z,recommended,true
CRV00038,CRT003,MOV0053,78,B,렌즈에 잡히지 않는 바람의 표정,사진의 한계를 사랑의 거리로 치환하는 영상 언어가 섬세하다.,2026-07-03T09:38:00Z,recommended,true
CRV00039,CRT003,MOV0086,89,A-,2058년 식탁에 남은 오래된 손맛,미래 기술과 반찬 가게의 정서를 균형 있게 조리한다.,2026-07-03T09:39:00Z,must_watch,true
CRV00040,CRT004,MOV0032,66,C+,마지막 호출번호의 약한 응답,콜센터 공간은 살아 있으나 범죄의 동기가 충분히 설득되지 않는다.,2026-07-04T09:40:00Z,mixed,false
CRV00041,CRT004,MOV0036,88,A-,도서관 연체 기록이 밝힌 실종,대출 이력을 감정과 추리의 단서로 동시에 활용하는 수작이다.,2026-07-04T09:41:00Z,must_watch,true
CRV00042,CRT004,MOV0119,82,B+,나무가 외운 사라진 번지수,도시 개발로 지워진 장소의 기억을 생태 판타지로 복원한다.,2026-07-04T09:42:00Z,recommended,true
CRV00043,CRT004,MOV0090,72,B-,멈출 수 없는 도시의 피로,속도감 있는 형식은 효과적이나 메시지가 다소 직접적이다.,2026-07-04T09:43:00Z,recommended,false
CRV00044,CRT004,MOV0055,61,C,첫눈 예약표의 익숙한 문법,계절 이미지는 아름답지만 인물의 선택은 관습을 벗어나지 못한다.,2026-07-04T09:44:00Z,mixed,false
CRV00045,CRT004,MOV0026,57,C-,사물함 미스터리의 늦은 개봉,학교의 불안을 포착했지만 장르적 해답은 싱겁다.,2026-07-04T09:45:00Z,mixed,false
CRV00046,CRT004,MOV0157,88,A-,구름과 바람이 만든 가족의 기후,감정을 날씨의 움직임으로 번역한 애니메이션의 성취가 빼어나다.,2026-07-04T09:46:00Z,must_watch,true
CRV00047,CRT004,MOV0199,60,C,독도 기상대의 평온한 관측일,업무의 구체성은 좋지만 극적 배열은 다소 평탄하다.,2026-07-04T09:47:00Z,mixed,false
CRV00048,CRT004,MOV0028,61,C,검은 봉투가 만든 복잡한 동선,경로의 정교함에 비해 인물의 욕망은 단순하다.,2026-07-04T09:48:00Z,mixed,false
CRV00049,CRT004,MOV0072,97,A+,노래방 마이크를 쥔 가장 빛나는 노년,웃음과 존엄을 한 곡의 호흡으로 완성한 탁월한 코미디다.,2026-07-04T09:49:00Z,must_watch,true
CRV00050,CRT004,MOV0175,93,A,새벽 네 시에 연결된 마음들,상담 노동의 구조와 개인의 감정을 어느 쪽도 희생하지 않고 담아낸다.,2026-07-04T09:50:00Z,must_watch,true
CRV00051,CRT004,MOV0190,78,B,눈보라 속 구조대의 정확한 호흡,산악 지형과 팀의 판단을 정직한 액션으로 구축한다.,2026-07-04T09:51:00Z,recommended,true
CRV00052,CRT004,MOV0193,56,C-,707호를 맴도는 느린 추격,열차 공간의 잠재력을 반복되는 액션으로 소모한다.,2026-07-04T09:52:00Z,mixed,false
CRV00053,CRT005,MOV0001,85,A-,세탁물로 그린 새벽 도시의 지도,노동과 이웃의 역사를 생활의 얼룩 속에서 발견하는 시선이 깊다.,2026-07-05T09:53:00Z,must_watch,true
CRV00054,CRT005,MOV0151,89,A-,반달곰이 기록한 숲의 여름,동물의 시선을 의인화하지 않으면서도 충분한 감정을 전달한다.,2026-07-05T09:54:00Z,must_watch,true
CRV00055,CRT005,MOV0171,68,C+,교대 시간 사이에 놓인 삶,노동 기록의 진정성은 높지만 재연 장면의 개입이 거슬린다.,2026-07-05T09:55:00Z,mixed,false
CRV00056,CRT005,MOV0115,75,B,꿈길을 안내하는 야간 사무소,잠과 불안을 행정 절차로 바꾼 판타지가 독특하다.,2026-07-05T09:56:00Z,recommended,true
CRV00057,CRT005,MOV0103,79,B,지하철 노선 위로 번진 초록,도시 인프라와 비밀 정원의 충돌을 활기 있게 그린다.,2026-07-05T09:57:00Z,recommended,true
CRV00058,CRT005,MOV0030,52,D,사라진 신호등과 함께 꺼진 긴장,인상적인 출발을 편리한 직감 수사로 마무리한다.,2026-07-05T09:58:00Z,skip,false
CRV00059,CRT005,MOV0188,64,C,청해진의 그림자에 가려진 인물,해상 전투의 규모는 좋지만 역사적 갈등의 층위가 얕다.,2026-07-05T09:59:00Z,mixed,false
CRV00060,CRT005,MOV0029,96,A+,존재하지 않는 1602호의 완벽한 구조,아파트 평면과 주민 기억을 정교한 미스터리로 조립한 걸작이다.,2026-07-05T10:00:00Z,must_watch,true
CRV00061,CRT005,MOV0012,49,D,구두는 움직이고 서사는 제자리,행방을 좇는 과정이 우연과 감상에 지나치게 의존한다.,2026-07-05T10:01:00Z,skip,false
CRV00062,CRT005,MOV0112,98,A+,산신령도 피할 수 없는 민원 절차,설화와 관료제를 정확한 박자로 충돌시킨 한국형 판타지 코미디의 정점이다.,2026-07-05T10:02:00Z,must_watch,true
CRV00063,CRT005,MOV0143,63,C,종이컵으로 세운 작은 우주,재활용의 미감은 선명하지만 모험의 갈등은 어린 관객에게도 단순하다.,2026-07-05T10:03:00Z,mixed,false
CRV00064,CRT005,MOV0162,53,D,간판 글씨와 함께 사라진 맥락,도시 기록의 사례를 나열할 뿐 변화의 원인을 파고들지 않는다.,2026-07-05T10:04:00Z,skip,false
CRV00065,CRT005,MOV0099,79,B,별빛 우체국의 마지막 소인,폐점이라는 끝을 새로운 연결의 시작으로 바꾸는 정서가 좋다.,2026-07-05T10:05:00Z,recommended,true
CRV00066,CRT006,MOV0123,78,B,거울이 먼저 웃는 순간의 균열,반사와 지연을 활용한 시각적 공포가 효과적이다.,2026-07-06T10:06:00Z,recommended,true
CRV00067,CRT006,MOV0143,55,C-,행성보다 작은 탐험의 반경,종이컵 세계의 규칙이 에피소드마다 편의적으로 바뀐다.,2026-07-06T10:07:00Z,mixed,false
CRV00068,CRT006,MOV0155,81,B+,녹기 전에 떠난 눈사람의 봄,소멸을 두려움 대신 호기심으로 바라보는 따뜻한 성장담이다.,2026-07-06T10:08:00Z,recommended,true
CRV00069,CRT006,MOV0109,59,C-,시간 빵의 덜 익은 규칙,매력적인 가게 설정이 일관되지 않은 시간 논리에 흔들린다.,2026-07-06T10:09:00Z,mixed,false
CRV00070,CRT006,MOV0060,53,D,자막 없는 계절의 번역 실패,언어 차이를 말하지만 두 인물의 삶은 납작하게 처리된다.,2026-07-06T10:10:00Z,skip,false
CRV00071,CRT006,MOV0125,70,B-,빈 교실의 늦은 출석,학원 공포의 문법을 안정적으로 따르지만 새로운 질문은 적다.,2026-07-06T10:11:00Z,recommended,false
CRV00072,CRT006,MOV0156,75,B,바다 유리에 새겨진 가족의 노래,환경과 기억을 연결하는 이미지가 부드럽게 이어진다.,2026-07-06T10:12:00Z,recommended,true
CRV00073,CRT006,MOV0019,85,A-,두 번째 이름으로 다시 불린 항구,개발과 귀향의 역사를 주민의 언어 속에 밀도 있게 담는다.,2026-07-06T10:13:00Z,must_watch,true
CRV00074,CRT006,MOV0159,97,A+,파도에 지워지는 모래성 우체국,사라질 운명의 편지를 통해 기억과 작별을 아름답게 완성한다.,2026-07-06T10:14:00Z,must_watch,true
CRV00075,CRT006,MOV0186,62,C,88구역을 반복하는 야간 순찰,공간의 위협은 선명하지만 액션의 패턴이 단조롭다.,2026-07-06T10:15:00Z,mixed,false
CRV00076,CRT006,MOV0088,54,D,꿈 백업 보고서의 시스템 오류,기억 기술의 규칙과 인물의 선택 모두 설득력을 얻지 못한다.,2026-07-06T10:16:00Z,skip,false
CRV00077,CRT006,MOV0104,83,B+,구름의 상처를 꿰매는 장인,수선이라는 노동을 하늘의 기후와 연결한 시각적 상상력이 풍부하다.,2026-07-06T10:17:00Z,recommended,true
CRV00078,CRT006,MOV0170,58,C-,목욕탕의 온기만 남은 폐업기,공동체의 상실을 익숙한 인터뷰와 음악으로 포장한다.,2026-07-06T10:18:00Z,mixed,false
CRV00079,CRT007,MOV0125,74,B-,출석부가 기억한 마지막 학생,교실의 공백을 효과적으로 쓰지만 해답은 장르의 관습 안에 머문다.,2026-07-07T10:19:00Z,recommended,false
CRV00080,CRT007,MOV0090,60,C,멈춤 없는 도시의 단일 속도,형식의 질주는 인상적이나 인물의 호흡을 허락하지 않는다.,2026-07-07T10:20:00Z,mixed,false
CRV00081,CRT007,MOV0044,86,A-,퇴근 후 겨울 바다에서 시작된 대화,차가운 풍경과 미묘한 감정의 온도 차를 정교하게 조율한다.,2026-07-07T10:21:00Z,must_watch,true
CRV00082,CRT007,MOV0012,61,C,구두 한 켤레가 남긴 공백,사물의 기억은 섬세하지만 추적의 인과가 헐겁다.,2026-07-07T10:22:00Z,mixed,false
CRV00083,CRT007,MOV0177,55,C-,열두 사람 모두에게 부족한 무대,백스테이지 노동을 존중하지만 너무 많은 인물을 얕게 훑는다.,2026-07-07T10:23:00Z,mixed,false
CRV00084,CRT007,MOV0128,65,C+,물때표에 기록되지 않은 시간,섬의 시간 감각은 매혹적이나 미스터리의 봉합이 성급하다.,2026-07-07T10:24:00Z,mixed,false
CRV00085,CRT007,MOV0109,69,C+,빵집 오븐 속 시간의 결,맛과 기억의 비유는 좋지만 세계관 규칙이 일정하지 않다.,2026-07-07T10:25:00Z,mixed,false
CRV00086,CRT007,MOV0086,75,B,미래 식탁의 오래된 반찬통,기술보다 손맛을 중심에 둔 선택이 따뜻한 설득력을 만든다.,2026-07-07T10:26:00Z,recommended,true
CRV00087,CRT007,MOV0105,71,B-,기억을 심은 화원의 계절,꽃과 추억의 연결은 아름답지만 갈등의 해결은 다소 손쉽다.,2026-07-07T10:27:00Z,recommended,false
CRV00088,CRT007,MOV0020,55,C-,달력 뒤에 숨은 약속의 공백,시간 장치는 흥미롭지만 관계의 진실이 작위적이다.,2026-07-07T10:28:00Z,mixed,false
CRV00089,CRT007,MOV0013,86,A-,대답하지 않는 소양강의 깊이,겨울 풍경과 침묵으로 상실의 감정을 오래 남긴다.,2026-07-07T10:29:00Z,must_watch,true
CRV00090,CRT007,MOV0139,55,C-,종이문이 닫힌 뒤의 익숙한 소리,공간의 질감은 탁월하지만 공포의 서사는 낡았다.,2026-07-07T10:30:00Z,mixed,false
CRV00091,CRT007,MOV0050,64,C,여섯 시 온실의 정체된 온도,기다림의 미학이 인물의 반복된 망설임으로 희석된다.,2026-07-07T10:31:00Z,mixed,false
CRV00092,CRT008,MOV0083,74,B-,한강 수위 0미터가 드러낸 도시,재난 이후의 서울을 낯설게 보는 시선은 선명하나 후반은 관습적이다.,2026-07-08T10:32:00Z,recommended,false
CRV00093,CRT008,MOV0064,66,C+,세입자 대표 선거의 생활 정치,골목 민주주의의 디테일은 좋지만 소동의 반복이 길다.,2026-07-08T10:33:00Z,mixed,false
CRV00094,CRT008,MOV0047,58,C-,한강에 보내지 못한 문장,장소의 정서는 풍부하지만 연인의 갈등은 익숙한 오해에 머문다.,2026-07-08T10:34:00Z,mixed,false
CRV00095,CRT008,MOV0153,81,B+,북극여우가 만난 남쪽의 기후,생태 위기를 어린 관객의 모험과 자연스럽게 연결한다.,2026-07-08T10:35:00Z,recommended,true
CRV00096,CRT008,MOV0149,83,B+,느림을 무기로 달리는 특급열차,속도의 가치를 뒤집는 유머와 캐릭터 애니메이션이 사랑스럽다.,2026-07-08T10:36:00Z,recommended,true
CRV00097,CRT008,MOV0063,72,B-,비밀 계정으로 본 엄마의 청춘,세대 간 오해를 디지털 흔적과 따뜻한 유머로 푼다.,2026-07-08T10:37:00Z,recommended,false
CRV00098,CRT008,MOV0071,80,B+,택배 문구 뒤에 숨은 이웃의 얼굴,비대면 시대의 연결을 경쾌한 생활 코미디로 복원한다.,2026-07-08T10:38:00Z,recommended,true
CRV00099,CRT008,MOV0048,80,B+,두 우편번호가 만든 사랑의 거리,지역의 차이를 편지의 속도와 생활 감각으로 섬세하게 드러낸다.,2026-07-08T10:39:00Z,recommended,true
CRV00100,CRT008,MOV0185,68,C+,국경을 넘은 태권도의 반쪽 승부,문화 교류의 의도는 좋지만 경기 서사가 익숙한 성장 공식에 갇힌다.,2026-07-08T10:40:00Z,mixed,false
CRV00101,CRT008,MOV0007,62,C,월요일 고양이의 반복 업무,직장 풍자의 첫 발은 가볍지만 에피소드가 같은 자리를 맴돈다.,2026-07-08T10:41:00Z,mixed,false
CRV00102,CRT008,MOV0132,59,C-,벽지의 호흡보다 얕은 공포,생활 공간의 불쾌감은 좋지만 정체가 너무 익숙하다.,2026-07-08T10:42:00Z,mixed,false
CRV00103,CRT008,MOV0121,55,C-,0호실까지 이어지는 긴 복도,반복되는 공간 연출이 공포보다 피로를 만든다.,2026-07-08T10:43:00Z,mixed,false
CRV00104,CRT008,MOV0167,78,B,꺼지지 않은 교실의 증언,야간 자율학습의 기억을 서로 다른 세대의 목소리로 복원한다.,2026-07-08T10:44:00Z,recommended,true
CRV00105,CRT009,MOV0178,54,D,고향을 오역한 다큐멘터리,언어와 이주의 복잡성을 단정적인 결론으로 줄인다.,2026-07-09T10:45:00Z,skip,false
CRV00106,CRT009,MOV0057,64,C,빈자리의 감정을 오래 응시하다,절제된 시작과 달리 후반은 같은 슬픔을 반복한다.,2026-07-09T10:46:00Z,mixed,false
CRV00107,CRT009,MOV0173,60,C,손끝으로 읽는 소리의 가능성,촉각 통역의 소재는 귀하지만 관찰의 깊이는 충분하지 않다.,2026-07-09T10:47:00Z,mixed,false
CRV00108,CRT009,MOV0112,95,A+,민원실에 내려온 가장 한국적인 신,행정 언어와 산신 설화를 절묘한 박자로 충돌시킨다.,2026-07-09T10:48:00Z,must_watch,true
CRV00109,CRT009,MOV0093,57,C-,추천 알고리즘을 위한 얕은 장례,기술 비판이 인물의 경험보다 구호에 머문다.,2026-07-09T10:49:00Z,mixed,false
CRV00110,CRT009,MOV0030,60,C,꺼진 신호등 아래 느슨한 수사,도시의 어둠은 선명하지만 단서의 연결은 희미하다.,2026-07-09T10:50:00Z,mixed,false
CRV00111,CRT009,MOV0157,84,B+,가족의 기분을 바꾸는 날씨,구름과 바람의 움직임으로 부모와 아이의 감정을 유려하게 전달한다.,2026-07-09T10:51:00Z,recommended,true
CRV00112,CRT009,MOV0113,73,B-,물고기가 걷는 도시의 고독,기이한 이미지가 서울의 외로움을 포착하지만 중반은 산만하다.,2026-07-09T10:52:00Z,recommended,false
CRV00113,CRT009,MOV0028,64,C,검은 봉투가 지나간 골목,추적의 동선은 치밀해도 권력의 얼굴은 평면적이다.,2026-07-09T10:53:00Z,mixed,false
CRV00114,CRT009,MOV0044,74,B-,겨울 바다에 남은 퇴근의 온도,차분한 정서는 좋으나 인물의 결심이 뒤늦다.,2026-07-09T10:54:00Z,recommended,false
CRV00115,CRT009,MOV0122,76,B,새벽 배송 금지선의 노동 지도,도시 물류와 장르 긴장을 균형 있게 묶는다.,2026-07-09T10:55:00Z,recommended,true
CRV00116,CRT009,MOV0117,72,B-,달팽이 호텔의 느린 환대,작은 세계의 매력은 충분하지만 사건의 속도까지 지나치게 느리다.,2026-07-09T10:56:00Z,recommended,false
CRV00117,CRT009,MOV0064,75,B,복도에서 시작된 생활 정치,세입자의 이해관계를 웃음 속에 구체적으로 드러낸다.,2026-07-09T10:57:00Z,recommended,true
CRV00118,CRT010,MOV0134,71,B-,13번 냉동문의 서늘한 공간감,차가운 미술은 뛰어나지만 인물의 선택은 관습적이다.,2026-07-10T10:58:00Z,recommended,false
CRV00119,CRT010,MOV0187,92,A,산불선 너머의 정확한 현장,진화대의 판단과 실패를 영웅화 없이 압도적으로 담아낸다.,2026-07-10T10:59:00Z,must_watch,true
CRV00120,CRT010,MOV0153,72,B-,남쪽으로 간 북극여우의 경고,기후 위기의 설명은 선명하지만 모험의 리듬은 고르지 않다.,2026-07-10T11:00:00Z,recommended,false
CRV00121,CRT010,MOV0029,87,A-,1602호가 없는 아파트의 균열,공동주택의 평면을 기억과 공포의 미로로 바꾼다.,2026-07-10T11:01:00Z,must_watch,true
CRV00122,CRT010,MOV0018,89,A-,냉장고 문에 보존된 가족사,반찬의 냄새와 계절로 상실을 환기하는 연출이 탁월하다.,2026-07-10T11:02:00Z,must_watch,true
CRV00123,CRT010,MOV0001,93,A,새벽 노동이 그린 골목의 지도,세탁소를 통과한 삶들이 하나의 도시 초상으로 모인다.,2026-07-10T11:03:00Z,must_watch,true
CRV00124,CRT010,MOV0109,62,C,시간 빵의 불균일한 발효,정서적 장면은 좋지만 시간 규칙이 매번 달라진다.,2026-07-10T11:04:00Z,mixed,false
CRV00125,CRT010,MOV0197,74,B-,도심 위 드론의 매끈한 질주,액션의 쾌감은 크지만 승부의 감정은 얕다.,2026-07-10T11:05:00Z,recommended,false
CRV00126,CRT010,MOV0104,86,A-,하늘의 상처를 기우는 하루,장인의 손과 구름의 움직임을 아름다운 노동 판타지로 완성한다.,2026-07-10T11:06:00Z,must_watch,true
CRV00127,CRT010,MOV0076,78,B,고시원 부엌의 야간 공동체,좁은 공간에서 음식으로 이어지는 관계가 구체적이고 따뜻하다.,2026-07-10T11:07:00Z,recommended,true
CRV00128,CRT010,MOV0096,71,B-,화성행 막차의 통근 우화,우주 이동의 일상성은 신선하지만 후반 추격은 익숙하다.,2026-07-10T11:08:00Z,recommended,false
CRV00129,CRT010,MOV0161,86,A-,시장 셔터가 오르기 전의 합창,새벽 노동을 백 가지 소리로 조직한 현장 기록이 빼어나다.,2026-07-10T11:09:00Z,must_watch,true
CRV00130,CRT010,MOV0037,93,A,새벽 네 시에 멈춘 완벽한 밀실,층수와 시간을 단서로 쌓는 장르 설계가 정교하다.,2026-07-10T11:10:00Z,must_watch,true
CRV00131,CRT011,MOV0112,80,B+,산신령의 번호표가 만든 웃음,전통과 행정의 충돌을 안정적인 코미디로 풀어낸다.,2026-07-11T11:11:00Z,recommended,true
CRV00132,CRT011,MOV0030,68,C+,신호등 없는 도시의 불안한 보행,공간은 인상적이나 수사의 마지막 퍼즐이 약하다.,2026-07-11T11:12:00Z,mixed,false
CRV00133,CRT011,MOV0175,88,A-,콜센터의 새벽을 지키는 목소리,감정 노동의 리듬과 침묵을 섬세하게 포착한다.,2026-07-11T11:13:00Z,must_watch,true
CRV00134,CRT011,MOV0145,87,A-,책벌레가 삼킨 도서관의 모험,독서의 욕망을 유머와 생태적 상상력으로 확장한다.,2026-07-11T11:14:00Z,must_watch,true
CRV00135,CRT011,MOV0138,81,B+,새벽 알림이 침범한 기도의 시간,신앙과 스마트폰 의존을 일상 공포로 치환한다.,2026-07-11T11:15:00Z,recommended,true
CRV00136,CRT011,MOV0029,89,A-,없는 호수가 만든 주민의 기억,아파트라는 한국적 공간의 불안을 정확히 파고든다.,2026-07-11T11:16:00Z,must_watch,true
CRV00137,CRT011,MOV0036,98,A+,연체된 사람을 찾아낸 도서관,정보 체계와 인간의 기억을 완벽한 추리로 접속한 작품이다.,2026-07-11T11:17:00Z,must_watch,true
CRV00138,CRT011,MOV0133,68,C+,녹음되지 않은 비명의 빈칸,음향 설계는 예민하지만 인물 행동이 장르 편의에 끌린다.,2026-07-11T11:18:00Z,mixed,false
CRV00139,CRT011,MOV0084,96,A+,감정을 빌려주는 24시간의 윤리,상품화된 감정과 외로운 도시인을 풍부한 에피소드로 탐구한다.,2026-07-11T11:19:00Z,must_watch,true
CRV00140,CRT011,MOV0179,86,A-,도시의 숨구멍을 기록한 사람들,녹지와 환기구의 정치성을 인간의 호흡과 연결한다.,2026-07-11T11:20:00Z,must_watch,true
CRV00141,CRT011,MOV0162,66,C+,사라진 간판을 읽는 도시 산책,기록의 가치는 크지만 변화의 구조를 충분히 설명하지 못한다.,2026-07-11T11:21:00Z,mixed,false
CRV00142,CRT011,MOV0102,82,B+,도깨비 세탁조의 생활 마법,근심과 얼룩을 함께 빠는 세계가 웃음과 위로를 준다.,2026-07-11T11:22:00Z,recommended,true
CRV00143,CRT011,MOV0001,98,A+,한국 도시 생활극의 새벽 지도,한 벌의 옷마다 계급과 관계를 새긴 세심함이 경이롭다.,2026-07-11T11:23:00Z,must_watch,true
CRV00144,CRT012,MOV0076,66,C+,야식으로 버티는 고시원의 밤,생활 디테일은 풍부하지만 인물의 화해가 너무 고르다.,2026-07-12T11:24:00Z,mixed,false
CRV00145,CRT012,MOV0106,65,C+,바람이 맡긴 분실물의 목록,세계관은 매력적이나 물건과 주인의 서사가 성기다.,2026-07-12T11:25:00Z,mixed,false
CRV00146,CRT012,MOV0021,66,C+,열세 번째 택배함의 불안,공동주택의 익명성은 살렸지만 범인의 동기는 단순하다.,2026-07-12T11:26:00Z,mixed,false
CRV00147,CRT012,MOV0183,50,D,해동검 전설에 갇힌 마지막 사수,검술 액션보다 설정 해설이 길어 인물이 사라진다.,2026-07-12T11:27:00Z,skip,false
