movie_id,title,release_date,primary_genre,genre_detail,production_country,original_language,runtime_minutes,content_rating,director_name,studio_name,production_budget_krw,theatrical_admissions,platform_release_date,is_platform_original,setting,protagonist,core_conflict,keywords,logline
MOV0011,옥상에 심은 겨울,2021-12-16,Drama,공동체 회복 드라마,KR,ko,121,12+,이도겸,초록지붕콘텐츠,5800000000,1084217,2022-06-10,false,서울 영등포 공장지대,도시농업 코디네이터,철거 예정 건물의 공동정원을 옮긴다,옥상텃밭|겨울상추|이주,철거를 앞둔 공장 옥상에서 주민들이 마지막 수확을 준비하며 각자의 이사 계획을 털어놓는다.
MOV0012,구두 한 켤레의 행방,2013-09-05,Drama,소시민 추적 드라마,KR,ko,103,12+,오나래,느린장면,980000000,187302,2021-02-12,false,광주 양림동,구두 수선공,짝이 다른 구두 두 개의 주인을 연결한다,낡은구두|사진관|재회,수선공은 같은 흠집을 가진 서로 다른 구두 두 짝이 헤어진 가족의 것임을 알아챈다.
MOV0013,소양강은 대답하지 않았다,2020-11-26,Drama,상실 치유 드라마,KR,ko,132,15+,백도하,물결프로덕션,3900000000,569880,2021-11-12,false,춘천 소양강변,수상 택시기사,형의 사고 기록과 다른 증언을 듣는다,수상택시|안개|형제,수상 택시기사가 안개 낀 강을 오가며 오래전 형의 사고를 기억하는 승객들을 만난다.
MOV0014,보증금 없는 방,2023-04-20,Drama,주거 현실 청춘극,KR,ko,111,15+,신가람,한칸필름,2600000000,442516,2023-12-15,false,서울 신림동 고시원,공인중개사 시험생,퇴거 위기 입주자들의 계약서를 바로잡는다,고시원|계약서|연대,시험을 준비하던 고시원 총무가 불법 퇴거 통보에 맞서 입주자들의 사라진 계약서를 찾는다.
MOV0015,겨울 귤은 천천히 익는다,2018-01-18,Drama,제주 가족 드라마,KR,ko,119,ALL,고은재,오름픽처스,3500000000,724089,2020-12-24,false,제주 서귀포 감귤밭,귀농한 기상캐스터,폭설 속에서 가족 농장의 출하를 지킨다,감귤밭|폭설|귀향,방송을 그만둔 기상캐스터가 예보와 다른 폭설 속에서 서먹한 가족과 감귤 수확을 시작한다.
MOV0016,동네 사진관의 마지막 손님,2014-06-12,Drama,아날로그 추억 드라마,KR,ko,106,ALL,남시우,은염필름,1100000000,302174,2019-11-08,false,충북 청주 성안길,사진 인화기사,폐업일에 맡겨진 미현상 필름을 복원한다,필름카메라|폐업|가족사진,사진관을 정리하던 인화기사가 현상되지 않은 가족사진 속에서 자신의 어린 시절을 발견한다.
MOV0017,정류장에 놓인 의자,2021-02-25,Drama,노년 우정 드라마,KR,ko,104,ALL,류하진,곁필름,1500000000,381902,2022-08-19,false,경남 통영 산복도로,퇴직 목수,철거된 정류장의 의자를 다시 만든다,나무의자|산복도로|노년우정,퇴직한 목수가 사라진 버스 정류장 의자를 복원하며 매일 그곳을 지키던 친구의 비밀을 알게 된다.
MOV0018,오래된 냉장고의 계절,2016-11-10,Drama,이웃 관계 드라마,KR,ko,110,12+,하연우,생활영화연구소,1800000000,276514,2020-05-22,false,전주 완산구 연립주택,출장 가전수리기사,버려진 냉장고 속 반찬통의 주인을 찾는다,냉장고|반찬통|이웃,가전수리기사가 골목마다 같은 반찬통이 놓인 이유를 알아내며 혼자 사는 주민들을 연결한다.
MOV0019,항구의 두 번째 이름,2022-09-15,Drama,이주 노동 휴먼극,KR,ko,126,15+,배주원,파도끝스튜디오,5200000000,918663,2023-07-21,false,울산 장생포 항구,선박 통역사,실종 선원의 잘못 기록된 이름을 바로잡는다,선원명부|통역|항구,선박 통역사는 사고 명단에서 이름이 누락된 외국인 선원의 가족을 찾아 진실을 전한다.
MOV0020,달력 뒤의 약속,2023-10-05,Drama,시간 기록 가족극,KR,ko,115,12+,민서진,페이지필름,4400000000,0,2024-02-23,true,경기 수원 행궁동,달력 디자이너,어머니의 달력 메모대로 한 달을 살아본다,손글씨달력|모녀|봄,일에 지친 디자이너가 유품 속 달력에 적힌 서른한 개의 약속을 하나씩 실행한다.
MOV0021,열세 번째 택배함,2019-08-29,Thriller,생활 범죄 미스터리,KR,ko,109,15+,차이준,검은계단,3600000000,612044,2022-01-21,false,경기 성남 대단지 아파트,야간 택배기사,도면에 없는 택배함의 수령인을 추적한다,무인택배함|CCTV|야간배송,택배기사는 매주 같은 시각 열리는 도면 밖 보관함에서 입주민들의 은밀한 거래를 발견한다.
MOV0022,지하 4층에는 비가 내린다,2021-09-02,Thriller,폐쇄 공간 재난 스릴러,KR,ko,117,15+,권세림,언더픽처스,7200000000,1420881,2022-04-08,false,서울 도심 복합몰 지하주차장,시설관리 기사,침수된 주차장에서 조작된 대피 방송을 의심한다,지하주차장|폭우|비상방송,폭우로 고립된 시설기사가 누군가 일부러 출구를 잠갔다는 사실을 알아낸다.
MOV0023,음성메모 17초,2021-04-15,Thriller,디지털 포렌식 미스터리,KR,ko,113,15+,심재온,픽셀누아르,4900000000,833709,2022-09-16,false,서울 가산디지털단지,휴대전화 복원기사,삭제된 음성메모의 배경음을 해독한다,음성메모|복구센터|엘리베이터,데이터 복원기사가 의뢰인의 삭제된 17초 녹음에서 다음 범죄의 장소를 듣는다.
MOV0024,창문 없는 편의점,2017-09-21,Thriller,야간 심리 스릴러,KR,ko,102,15+,유지호,심야상영,2100000000,404116,2020-10-16,false,인천 공단 외곽,심야 편의점 점주,매일 다른 얼굴로 오는 같은 손님을 알아본다,편의점|복권영수증|새벽세시,창문 없는 편의점에서 홀로 일하던 점주는 반복되는 손님의 구매 목록이 구조 신호임을 눈치챈다.
MOV0025,흰 장갑의 목격자,2020-02-13,Thriller,법정 추적 스릴러,KR,ko,128,15+,김라온,증거실필름,6100000000,1055472,2021-12-03,false,대전 법원 기록보관소,법원 속기사,오래된 재판 녹취의 누락 문장을 찾는다,속기록|흰장갑|재심,속기사는 십 년 전 판결문의 침묵 구간에 자신이 들었던 목소리가 있음을 깨닫는다.
MOV0026,목요일의 빈 사물함,2024-05-30,Thriller,학원가 미스터리,KR,ko,108,15+,송하람,칠판뒤스튜디오,3800000000,771340,2024-08-02,false,서울 노량진 학원가,독서실 총무,매주 목요일 비워지는 사물함의 비밀을 밝힌다,사물함|수험표|익명쪽지,독서실 총무가 사라진 수험생의 사물함에서 시험 문제 유출을 암시하는 쪽지를 발견한다.
MOV0027,파도 아래 녹음실,2021-11-04,Thriller,해양 음향 미스터리,KR,ko,123,15+,전도윤,심해사운드,6800000000,1190345,2022-03-11,false,부산 해저터널 관측소,수중음향 연구원,금지 주파수에 담긴 선박 사고를 복원한다,수중음|해저터널|구조신호,연구원은 매일 새벽 들리는 금속음이 은폐된 침몰선의 구조 신호라고 확신한다.
MOV0028,검은 봉투의 경로,2016-03-17,Thriller,도시 추적 누아르,KR,ko,121,18+,임주혁,야행필름,5300000000,684210,2019-09-27,false,서울 종로 퀵서비스망,오토바이 퀵기사,열어서는 안 될 봉투의 배송지를 바꾼다,퀵서비스|검은봉투|골목추격,퀵기사가 우연히 바꿔 든 봉투 때문에 도시의 불법 철거 계약을 추적하게 된다.
MOV0029,아파트 1602호는 없다,2021-10-14,Thriller,부동산 심리 미스터리,KR,ko,115,15+,노아진,콘크리트랩,5900000000,0,2022-04-29,true,세종시 신축 아파트,입주점검 대행자,등기부에 없는 집의 하자를 조사한다,신축아파트|평면도|층간소음,입주점검 대행자는 존재하지 않는 1602호에서 매일 가구 끄는 소리를 듣는다.
MOV0030,사라진 신호등의 밤,2018-10-11,Thriller,교통 관제 스릴러,KR,ko,111,15+,장도림,교차로픽처스,4600000000,572921,2021-07-02,false,대구 도심 교통관제센터,신호체계 엔지니어,한 교차로의 기록만 삭제된 이유를 찾는다,신호등|교통로그|심야사고,엔지니어는 모든 신호가 동시에 꺼진 89초 동안 시장 후보의 차량이 사라졌음을 확인한다.
MOV0031,잠들지 않는 보관함,2021-12-02,Thriller,도서관 아카이브 미스터리,KR,ko,119,15+,이세온,종이달스튜디오,4000000000,694820,2022-08-19,false,광주 시립도서관 지하서고,기록물 보존사,반납된 적 없는 책의 대출자를 추적한다,지하서고|대출카드|곰팡이냄새,보존사는 서른 해 동안 갱신된 한 권의 대출카드가 지역 유지들의 비밀 장부임을 알게 된다.
MOV0032,마지막 호출번호,2015-12-03,Thriller,의료 행정 미스터리,KR,ko,107,15+,강태린,대기실필름,2700000000,338177,2020-03-20,false,충남 소도시 종합병원,원무과 야간직원,사망자 이름으로 발급된 대기표를 조사한다,호출번호|원무과|진료기록,야간 원무 직원은 폐쇄된 진료실에서 매주 같은 환자 번호가 호출되는 이유를 파헤친다.
MOV0033,안개 속 22번 부표,2020-06-18,Thriller,해안 수색 스릴러,KR,ko,126,15+,백수현,등대너머,7500000000,1319455,2022-09-16,false,제주 북동 해역,해양경찰 구조대원,이동하는 부표가 가리키는 항로를 따른다,부표|해무|실종어선,구조대원은 지도에 고정된 부표가 밤마다 이동하며 오래된 실종 어선의 항로를 그린다는 것을 발견한다.
MOV0034,벽 너머의 타자기,2014-08-07,Thriller,아날로그 서스펜스,KR,ko,104,15+,홍윤서,먹지필름,1600000000,241770,2019-04-12,false,서울 충정로 낡은 오피스텔,프리랜서 번역가,옆집 타자기 소리가 예고하는 사건을 막는다,타자기|벽간소음|번역원고,번역가는 비어 있는 옆집의 타자기 문장이 다음 날 뉴스와 정확히 일치한다는 것을 깨닫는다.
MOV0035,종점의 빨간 코트,2022-03-31,Thriller,대중교통 추적극,KR,ko,114,15+,정해율,막차프로젝트,5200000000,907416,2023-11-24,false,서울 외곽 버스 종점,버스 정비사,매일 같은 좌석에 놓이는 코트의 주인을 찾는다,빨간코트|블랙박스|종점,정비사는 주인 없는 코트 주머니에서 버스 노선 전체를 감시한 사진들을 발견한다.
MOV0036,반납 기한이 지난 사람,2019-01-24,Thriller,신원 추적 미스터리,KR,ko,110,15+,문서아,느와르페이지,3300000000,519082,2021-04-30,false,경기 파주 출판단지,중고서점 매입담당자,책 속 신분증 주인의 실종을 추적한다,중고책|신분증|연체도장,매입담당자는 서로 다른 책 백 권에서 같은 사람의 신분증 사진이 조금씩 늙어가는 것을 본다.
MOV0037,새벽 네 시의 엘리베이터,2024-10-17,Thriller,고층 빌딩 테크 스릴러,KR,ko,116,15+,차세연,수직도시필름,8200000000,0,2024-10-17,true,서울 여의도 초고층 빌딩,승강기 점검기사,멈추지 않는 비인가 층을 조사한다,엘리베이터|비인가층|출입기록,점검기사는 새벽 네 시에만 나타나는 층에서 사라진 입주 기업의 서버실을 발견한다.
MOV0038,봉인된 분실 신고,2017-05-25,Thriller,경찰 행정 미스터리,KR,ko,125,15+,고현민,미제사건소,4400000000,620531,2020-12-18,false,전남 목포 구경찰서,기록 이관 담당자,봉인된 신고서들의 공통 주소를 찾는다,분실신고|문서고|붉은실,폐쇄 경찰서의 기록을 옮기던 직원이 같은 집을 가리키는 스무 건의 분실 신고를 발견한다.
MOV0039,검표원의 마지막 표,2013-02-14,Thriller,철도 시대 미스터리,KR,ko,118,15+,류재하,레일컷,3700000000,459880,2018-11-09,false,경북 산악 열차 노선,퇴직을 앞둔 검표원,취소된 역의 승차권을 가진 승객을 쫓는다,승차권|폐역|눈보라,검표원은 시간표에서 지워진 역으로 향하는 승객이 삼십 년 전 사고의 유일한 생존자임을 알게 된다.
MOV0040,오늘의 비밀번호는 어제였다,2023-10-12,Thriller,개인정보 범죄 스릴러,KR,ko,112,15+,김하진,제로로그,6300000000,0,2024-05-17,true,판교 데이터센터,보안관제 분석가,과거 일기로 생성된 침입 비밀번호를 추적한다,데이터센터|비밀번호|디지털일기,분석가는 침입자가 자신의 어린 시절 문장만으로 보안망을 통과한다는 사실을 알아챈다.
MOV0041,오후 네 시의 첫사랑,2018-08-16,Romance,재회 멜로,KR,ko,113,12+,윤해원,살구빛필름,3200000000,891044,2021-06-25,false,서울 연희동 제과점,디저트 사진가,매일 같은 시간 주문하는 옛 연인을 마주한다,살구타르트|오후네시|재회,메뉴 촬영을 맡은 사진가는 첫사랑이 매일 주문하는 디저트에 답하지 못한 편지가 숨겨져 있음을 안다.
MOV0042,우리 사이 7.5센티미터,2022-05-19,Romance,직장 로맨틱 드라마,KR,ko,108,12+,박시온,사이필름,2800000000,734811,2023-08-11,false,서울 합정 공유오피스,가구 디자이너,공동 책상 경계선을 두고 이웃과 충돌한다,공유책상|줄자|야근,책상 간격에 집착하는 디자이너와 자유분방한 번역가가 야간 정전 속에서 서로의 작업을 이해한다.
MOV0043,비행운을 접는 방법,2020-10-22,Romance,장거리 연애 드라마,KR,ko,121,12+,최이안,구름편지,4900000000,1002481,2022-02-11,false,인천공항 화물터미널,항공화물 사무원,수취인 없는 소포를 통해 떠난 연인을 이해한다,비행운|종이학|항공화물,항공화물 직원은 반송 소포 속 종이학을 펼치며 자신이 놓친 연인의 여행 기록을 읽는다.
MOV0044,겨울 바다는 퇴근 후에,2023-06-29,Romance,직장인 힐링 멜로,KR,ko,115,12+,한지유,퇴근길픽처스,4100000000,823590,2023-10-13,false,강릉 주문진,서울 지사 파견 회계사,주말마다 만나는 어부와 미래를 선택한다,막차KTX|방파제|주말연애,임시 파견된 회계사가 퇴근 후 방파제에서 만난 어부와 서로 다른 삶의 속도를 조율한다.
MOV0045,라디오가 끝난 뒤에도,2016-11-17,Romance,음악 라디오 멜로,KR,ko,119,12+,정다온,주파수필름,2500000000,506774,2020-04-03,false,대전 심야 라디오국,막내 방송작가,익명 사연의 주인공이 동료임을 알게 된다,심야라디오|신청곡|익명사연,종영을 앞둔 라디오 작가는 자신에게 보내진 듯한 사연을 읽으며 무뚝뚝한 음향기사와 가까워진다.
MOV0046,연두색 자전거의 계절,2019-05-09,Romance,청춘 로드 멜로,KR,ko,106,ALL,이새봄,페달스튜디오,1900000000,638250,2021-09-03,false,전주 천변 자전거길,자전거 수리공,빌려 간 자전거와 함께 사라진 손님을 기다린다,연두자전거|천변|여름비,수리공은 매년 같은 날 고장 난 자전거를 맡기는 여행자와 한 계절씩 늦은 약속을 이어 간다.
MOV0047,한강에 보내지 못한 말,2022-08-18,Romance,성인 재회 로맨스,KR,ko,124,12+,남도윤,잔물결콘텐츠,5300000000,1043882,2023-01-13,false,서울 반포 한강변,수어 통역사,사고 후 연락을 끊은 무용수와 다시 만난다,수어|야간산책|무용,수어 통역사는 한강 공연 리허설에서 말없이 떠났던 무용수를 만나 오래 묻어 둔 오해를 풀기 시작한다.
MOV0048,두 사람의 우편번호,2015-03-12,Romance,지역 이동 로맨스,KR,ko,111,ALL,오하린,주소없는편지,1400000000,319445,2019-07-19,false,경남 진주 구도심,주소 정비 조사원,철거 마을의 마지막 거주자와 경계를 다시 그린다,우편번호|골목측량|첫눈,주소를 새로 매기는 조사원과 지워질 골목을 지키는 청년이 지도 위에서 서로의 자리를 찾는다.
MOV0049,봄밤의 번역은 느리게,2021-04-08,Romance,문학 감성 로맨스,KR,ko,117,12+,강주하,문장사이,3600000000,678194,2022-10-07,false,서울 서촌 독립출판사,문학 번역가,작가의 미완성 원고를 편집자와 완성한다,미완성원고|벚꽃|교정지,번역가와 편집자는 사라진 작가의 원고를 다듬으며 서로에게 필요한 문장을 찾아간다.
MOV0050,저녁 여섯 시의 온실,2025-02-14,Romance,슬로 라이프 로맨스,KR,ko,109,ALL,신재윤,온실영화사,3000000000,0,2025-02-14,true,세종시 도시농업 온실,식물병원 인턴,폐쇄 예정 온실의 희귀 식물을 옮긴다,온실|식물진단|저녁노을,식물병원 인턴과 무심한 시설관리자가 매일 저녁 한 화분씩 구조하며 마음의 속도를 맞춘다.
MOV0051,월세와 고백 사이,2022-01-27,Romance,주거 현실 로맨틱 코미디,KR,ko,103,12+,임유나,한달살이필름,2400000000,772806,2023-05-12,false,서울 성수동 옥탑방,공간 대여 매니저,계약 오류로 낯선 사람과 방을 나눠 쓴다,옥탑방|이중계약|생활규칙,이중 계약으로 한집에 살게 된 두 사람이 월세 절약 규칙을 만들다 서로의 불안을 알아간다.
MOV0052,플레이리스트 2007,2017-06-29,Romance,복고 음악 멜로,KR,ko,116,12+,배은호,테이프B면,3300000000,590112,2020-09-25,false,부산 서면 중고음반점,팟캐스트 PD,이름 없는 믹스CD의 제작자를 찾는다,믹스CD|중고음반|2007년,팟캐스트 PD는 첫사랑이 남긴 줄 알았던 믹스CD가 전혀 다른 사람의 고백임을 알게 된다.
MOV0053,사진에는 바람이 없다,2014-10-30,Romance,여행 사진 멜로,KR,ko,122,12+,류소민,셔터필름,2800000000,441672,2019-02-15,false,제주 동쪽 해안,웨딩 사진 보정사,사진에서 지워 달라는 인물을 직접 만난다,웨딩사진|해안바람|보정,사진 보정사는 매번 같은 남자를 지워 달라는 의뢰인의 사연을 따라 제주로 향한다.
MOV0054,오늘부터 서로 모르는 사이,2023-08-24,Romance,이별 후 재회 로맨스,KR,ko,110,12+,조다인,리셋픽처스,3700000000,915507,2024-02-02,false,서울 대학로 소극장,공연 기획자,헤어진 연인과 신작을 공동 제작한다,소극장|공동연출|리허설,서로를 모르는 척하기로 한 전 연인이 한 달간 같은 연극을 준비하며 헤어진 장면을 다시 쓴다.
MOV0055,첫눈은 예약할 수 없어서,2019-12-19,Romance,겨울 판타지 멜로,KR,ko,114,ALL,문해강,눈소식필름,4500000000,1120633,2021-12-10,false,평창 기상관측소,기상 예보관,첫눈 날짜를 맞혀야 지켜지는 약속을 떠올린다,첫눈|관측일지|오래된약속,예보관은 첫눈을 기다리는 카페 주인과 함께 십 년 전 틀린 예보가 남긴 오해를 풀어 간다.
MOV0056,당신의 파도는 몇 시입니까,2022-05-12,Romance,해양 치유 로맨스,KR,ko,127,12+,고하늘,조류필름,5600000000,1203844,2022-10-28,false,전남 여수 해양관측소,조류 예측 연구원,일정을 믿지 않는 잠수부와 구조 계획을 세운다,조류표|잠수|달의인력,숫자로 바다를 읽는 연구원과 감각으로 파도를 읽는 잠수부가 실종 수색을 함께한다.
MOV0057,빈자리 사용법,2018-02-01,Romance,공연장 로맨스,KR,ko,105,12+,서강민,객석필름,2200000000,367095,2020-06-12,false,광주 예술극장,객석 안내원,매회 비어 있는 한 좌석의 예약자를 기다린다,빈좌석|공연표|커튼콜,객석 안내원은 공연마다 같은 자리를 비워 두는 조명감독의 이유를 알게 되며 가까워진다.
MOV0058,낮잠이 끝나면 전화해,2020-07-16,Romance,일상 관찰 로맨스,KR,ko,99,ALL,한소율,한숨필름,1300000000,528741,2022-01-07,false,서울 동작구 공유주방,야간 제빵사,반대 시간에 일하는 요리사와 메모를 주고받는다,공유주방|낮잠|냉장고메모,한 번도 근무 시간이 겹치지 않는 두 사람이 냉장고 문에 남긴 메모로 서로의 하루를 돌본다.
MOV0059,두 번째 엔딩 크레딧,2023-05-25,Romance,영화인 메타 로맨스,KR,ko,118,12+,윤해원,마지막컷,4800000000,846220,2024-04-12,false,부산 독립영화 촬영장,스크립터,중단된 영화와 오래된 연애를 함께 마무리한다,스크립트노트|재촬영|엔딩크레딧,스크립터와 촬영감독은 칠 년 만에 재개된 영화에서 서로의 누락된 장면을 발견한다.
MOV0060,우리의 계절은 자막 없이,2025-05-01,Romance,다문화 청춘 로맨스,KR,ko,112,ALL,박시온,말풍선스튜디오,3400000000,0,2025-05-01,true,서울 이태원 언어교환 카페,한국어 교사,말이 통하지 않는 음향기록가와 다큐를 만든다,언어교환|현장음|봄축제,한국어 교사와 외국인 음향기록가가 동네 축제를 찍으며 번역할 수 없는 감정을 배운다.
MOV0061,부장님은 오늘도 잠입 중,2021-12-09,Comedy,오피스 첩보 코미디,KR,ko,104,12+,권도원,월급날필름,4200000000,1375502,2022-06-17,false,서울 구로 전자회사,만년 과장,신입으로 위장한 대표를 경쟁사 직원으로 오해한다,사원증|잠입|회식,눈치 없는 과장이 신입사원으로 숨어든 대표를 산업스파이로 착각해 비밀 수사를 벌인다.
MOV0062,치킨집에 외계인이 산다,2024-01-18,Comedy,SF 생활 코미디,KR,ko,101,ALL,이로운,닭다리픽처스,5100000000,1923011,2024-04-12,false,경기 부천 주택가,치킨집 사장,튀김기 열을 먹는 외계인을 숨긴다,치킨집|외계손님|배달앱,매출이 바닥난 치킨집 사장이 튀김기 옆에 불시착한 외계인을 야간 직원으로 고용한다.
MOV0063,엄마의 비밀 계정,2021-05-06,Comedy,가족 SNS 코미디,KR,ko,108,12+,정은찬,좋아요스튜디오,2600000000,1109454,2022-07-29,false,경기 일산 신도시,취업 준비생,인기 익명 계정 운영자가 엄마임을 숨긴다,익명계정|가족단톡|중고거래,취준생은 자신이 즐겨 보던 살림 풍자 계정의 운영자가 엄마라는 사실을 알고 공동 콘텐츠를 만든다.
MOV0064,세입자 대표 선거,2018-04-26,Comedy,아파트 정치 풍자극,KR,ko,115,12+,박도연,관리사무소A,3100000000,799631,2020-11-13,false,서울 강북구 구축 아파트,무관심한 세입자,택배비 인상에 반발해 대표 선거에 나간다,입주자회의|택배보관|선거,정치에 관심 없던 세입자가 택배 보관료를 막으려다 아파트 전체의 이해관계와 맞붙는다.
MOV0065,오늘의 메뉴는 사과입니다,2023-10-12,Comedy,급식실 직장 코미디,KR,ko,102,ALL,오세찬,식판필름,2300000000,884120,2024-06-14,false,충북 산업단지 구내식당,신입 영양사,매일 사과하라는 사장의 지시를 메뉴로 오해한다,구내식당|사과요리|직장풍자,신입 영양사가 부당한 사과 지시를 진짜 사과 메뉴 축제로 바꾸며 직원들의 마음을 얻는다.
MOV0066,우리 동네 임시 반장,2017-01-19,Comedy,골목 공동체 코미디,KR,ko,99,ALL,김온유,반상회필름,1400000000,465808,2019-08-09,false,서울 해방촌 골목,택배를 기다리는 프리랜서,택배 오배송 때문에 반장으로 추대된다,오배송|반상회|골목고양이,낯가림 심한 프리랜서가 오배송 사건을 해결하다 얼떨결에 골목 반장이 된다.
MOV0067,퇴근 후에는 탐정입니다,2020-09-24,Comedy,생활 추리 코미디,KR,ko,111,12+,유하람,야근없는영화사,3500000000,948771,2022-01-28,false,대전 보험회사,보험 심사원,동료들의 사소한 분실 사건을 과잉 수사한다,보험서류|사내탐정|탕비실,추리소설 마니아인 보험 심사원이 사라진 텀블러를 찾다가 회사의 복지비 비밀을 밝혀낸다.
MOV0068,아버지가 아이돌 연습생,2024-08-15,Comedy,세대 반전 음악 코미디,KR,ko,110,ALL,신보라,앙코르픽처스,6200000000,1604332,2024-12-20,false,서울 성수동 연습실,고등학생 딸,오디션에 합격한 쉰 살 아버지의 매니저가 된다,오디션|부녀|복고댄스,아이돌을 꿈꾸는 딸 대신 아버지가 합격하면서 가족의 역할과 무대의 주인이 뒤바뀐다.
MOV0069,공유 냉장고 대소동,2019-06-13,Comedy,셰어하우스 앙상블,KR,ko,106,12+,최나경,한끼필름,2100000000,637421,2021-03-26,false,서울 신촌 셰어하우스,원칙주의 대학원생,이름 없는 반찬의 소유권을 가린다,공유냉장고|반찬도둑|생활규칙,공유 냉장고의 반찬 하나가 사라지자 여섯 입주자가 각자의 알리바이를 내놓는다.
MOV0070,결혼식 사회는 처음이라,2022-02-17,Comedy,행사장 로맨틱 코미디,KR,ko,103,12+,임태경,축의금스튜디오,2800000000,991705,2023-09-01,false,서울 강남 예식장,대타 결혼식 사회자,신랑과 신부를 바꿔 소개한 실수를 수습한다,결혼식|대타사회|축가,무대 공포증이 있는 회사원이 대타 사회를 맡았다가 두 집안의 오래된 오해까지 중계한다.
MOV0071,택배는 문 앞에 두고 웃으세요,2022-08-04,Comedy,배달 노동 풍자 코미디,KR,ko,105,12+,차민서,초인종필름,3900000000,0,2023-01-06,true,경기 용인 아파트촌,사진 인증 전문 배달기사,매번 다른 포즈를 요구하는 고객을 추적한다,배송사진|초인종|리뷰점수,낮은 평점에 시달리던 배달기사가 황당한 인증 사진을 요구하는 고객들과 광고 영상을 만들게 된다.
